href,location,street,area,bedrooms,bathrooms,parking,price,fees,id_imovel
https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-campinas-57m2-id-2732379852/?source=ranking%2Crp,"Apartamento para alugar com 57 m², 2 quartos, 2 banheiros, 1 vaga em
Centro, Campinas",Rua Doutor Quirino,"Tamanho do imóvel
57 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
1",R$ 3.900/mês,Cond. R$ 540 • IPTU R$ 132,2732379852
https://www.zapimoveis.com.br/imovel/aluguel-loja-salao-com-copa-vila-rezende-piracicaba-68m2-id-2867618968/?source=ranking%2Crp,"Ponto comercial/Loja/Box para alugar com 68 m², 2 banheiros em
Vila Rezende, Piracicaba",Rua Maria Manieiro,"Tamanho do imóvel
68 m²",,"Quantidade de banheiros
2",,R$ 1.500/mês,,2867618968
https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-cozinha-parque-sao-cristovao-taubate-800m2-id-2845325063/?source=ranking%2Crp,"Galpão/Depósito/Armazém para alugar com 800 m², 1 banheiro em
Parque São Cristóvão, Taubaté","","Tamanho do imóvel
800 m²",,"Quantidade de banheiros
1",,R$ 2.500/mês,IPTU R$ 150,2845325063
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-pituba-salvador-78m2-id-2864937553/?source=ranking%2Crp,"Apartamento para alugar com 78 m², 2 quartos, 3 banheiros, 2 vagas em
Pituba, Salvador",Rua Manoel Andrade,"Tamanho do imóvel
78 m²","Quantidade de quartos
2","Quantidade de banheiros
3","Quantidade de vagas de garagem
2",R$ 3.800/mês,Cond. R$ 1.550 • IPTU R$ 220,2864937553
https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-porcelanato-centro-taubate-30m2-id-2841728780/?source=ranking%2Crp,"Sala/Conjunto para alugar com 30 m², 1 banheiro em
Centro, Taubaté","","Tamanho do imóvel
30 m²",,"Quantidade de banheiros
1",,R$ 1.800/mês,,2841728780
https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-com-quintal-vila-carbone-sao-paulo-80m2-id-2836977817/?source=ranking%2Crp,"Casa para alugar com 80 m², 1 quarto, 1 banheiro, 2 vagas em
Vila Carbone, São Paulo","","Tamanho do imóvel
80 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
2",R$ 1.650/mês,IPTU R$ 100,2836977817
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-paulista-sao-paulo-84m2-id-2759344521/?source=ranking%2Crp,"Apartamento para alugar com 84 m², 2 quartos, 3 banheiros, 1 vaga em
Jardim Paulista, São Paulo",Rua José Maria Lisboa,"Tamanho do imóvel
84 m²","Quantidade de quartos
2","Quantidade de banheiros
3","Quantidade de vagas de garagem
1",R$ 29.484/mês,Cond. R$ 1 • IPTU R$ 1,2759344521
https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-macuco-valinhos-3900m2-id-2715037025/?source=ranking%2Crp,"Galpão/Depósito/Armazém para alugar com 3900 m², 4 banheiros, 15 vagas em
Macuco, Valinhos",Rua Clark,"Tamanho do imóvel
3900 m²",,"Quantidade de banheiros
4","Quantidade de vagas de garagem
15",R$ 95.000/mês,IPTU R$ 5.000,2715037025
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-cambui-campinas-51m2-id-2867526213/?source=ranking%2Crp,"Apartamento para alugar com 51 m², 1 quarto, 1 banheiro, 2 vagas em
Cambuí, Campinas",Rua Dona Prisciliana Soares,"Tamanho do imóvel
51 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
2",R$ 4.900/mês,Cond. R$ 760 • IPTU R$ 201,2867526213
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jardim-ana-maria-jundiai-109m2-id-2844960033/?source=ranking%2Crp,"Apartamento para alugar com 109 m², 3 quartos, 2 banheiros, 2 vagas em
Jardim Ana Maria, Jundiaí",Rua Elias Juvenal de Mello,"Tamanho do imóvel
109 m²","Quantidade de quartos
3","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",R$ 5.300/mês,Cond. R$ 752 • IPTU R$ 190,2844960033
https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-com-churrasqueira-cachoeira-vinhedo-137m2-id-2866557075/?source=ranking%2Crp,"Casa de condomínio para alugar com 137 m², 3 quartos, 4 banheiros, 2 vagas em
Cachoeira, Vinhedo",Rodovia Edenor João Tasca,"Tamanho do imóvel
137 m²","Quantidade de quartos
3","Quantidade de banheiros
4","Quantidade de vagas de garagem
2",R$ 8.200/mês,,2866557075
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-pioneiro-toledo-146m2-id-2868046033/?source=ranking%2Crp,"Apartamento para alugar com 146 m², 2 quartos, 2 banheiros, 2 vagas em
Vila Pioneiro, Toledo",Rua Tomás de Aquino,"Tamanho do imóvel
146 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",R$ 2.200/mês,,2868046033
